Technology,Language,Description,Usage,Platform
XCTest,"Objective-C, Swift",Apple’s native testing framework for iOS and macOS applications.,Engine,"System, Testing"
Espresso,"Java, Kotlin","UI testing framework for Android applications, allowing developers to test the user interface directly within the app.",Engine,"Native, Testing"
TestNG,Java,"Inspired by JUnit but with more powerful features such as parallel execution, data-driven testing, and flexible configuration. ",Engine,Testing
JBehave,Java,"BDD framework for Java, designed to support behavior-driven development. It allows users to write tests in a natural language format.",Engine,Testing
Lagom,"Java, Scala",Allows for building reactive microservices and integrates well with test automation frameworks for testing services and APIs.,Engine,"Hybrid, Server, Testing, Web App"
WireMock,Java,Tool for simulating HTTP-based APIs for testing purposes. It is primarily used to create mock APIs.,Engine,Testing
PyTest,Python,"Unit, integration, and functional testing in Python.",Engine,Testing
Vwo Test,,"Visual testing platform for web applications, focusing on automating website testing without the need for coding. ",Engine,"Testing, Web App"
Selendroid,"Java, Ruby","Mobile test automation framework for Android, enabling automation of hybrid and native apps. It’s compatible with Selenium and supports both real devices and emulators.",Engine,"Native, Testing"
Telerik Test Studio,"C#, JavaScript","Comprehensive test automation tool that supports web, desktop, and mobile testing. It features an intuitive UI, automated test creation, and integration with CI/CD pipelines.",Engine,"Hybrid, Native, Testing, Web App"
Calabash,Ruby,"Cross-platform test automation framework for mobile apps, allowing teams to write tests in Cucumber.",Engine,"Hybrid, Testing"
Concordion,"HTML, Java",Lightweight framework designed for BDD in Java. It allows you to write acceptance tests in HTML,Engine,Testing
Minitest,Ruby,Unit testing in Ruby.,Engine,Testing
Detox,JavaScript,"End-to-end testing framework for React Native applications, focusing on mobile UI testing.",Engine,Testing
TestCafe,JavaScript,Node.js-based testing framework that supports browser testing without requiring WebDriver.,Engine,Testing
Puppeteer,JavaScript,Puppeteer is a JavaScript library which provides a high-level API to control Chrome or Firefox over the DevTools Protocol or WebDriver BiDi.,Engine,"Testing, Web App"
WebDriverIO,JavaScript,WebdriverIO is a progressive automation framework built to automate modern web and mobile applications.,Engine,"Native, Testing, Web App"
Jest,JavaScript,Jest is a JavaScript testing framework designed to ensure correctness of any JavaScript codebase.,Engine,Testing
Jasmine,JavaScript,"Framework for testing JavaScript code. It does not depend on any other JavaScript frameworks. It runs in browsers and in Node.js. ",Engine,Testing
Spock,"Groovy, Java","Spock is a testing and specification framework for Java and Groovy applications. ",Engine,Testing
Maestro,YAML,End-to-end testing for Mobile and Web apps.,Engine,"Multiple, Native, Testing, Web App"
Gauge,"C#, Java, JavaScript, Markdown, Python, Ruby"," Free and open source framework for writing and running acceptance tests. ",Engine,Testing
Nightwatch.js,JavaScript,End to end testing of web apps on desktop & mobile browsers,Engine,"Testing, Web App"
Selenide,Java,Framework for test automation powered by Selenium WebDriver.,Engine,"Testing, Web App"
Takio,JavaScript,"Free and open source Node.js library with a simple API to automate Chromium based browsers (Chrome, Microsoft Edge, Opera) and Firefox.",Engine,"Testing, Web App"
PHPUnit,PHP,Programmer-oriented testing framework for PHP. It is an instance of the xUnit architecture for unit testing frameworks.,Engine,Testing
XCUITest,"Objective-C, Swift","Appium driver for automating iOS applications on iOS, iPadOS, and tvOS.",Engine,"System, Testing"
Geb,Groovy,"Brings together the power of WebDriver, the elegance of jQuery content selection, the robustness of Page Object modelling and the expressiveness of the Groovy language.",Engine,"Testing, Web App"
QUnit,JavaScript,"JavaScript testing framework designed for unit and integration testing, especially for front-end applications.",Engine,"Testing, Web App"
RSPec,Ruby,Behaviour Driven Development for Ruby.,Engine,Testing
Reqnroll,,Open-source Cucumber-style BDD test automation framework for .NET.,Engine,Testing
MSTest,C#,"Microsoft Testing Framework, is a test framework for .NET applications.",Engine,"Hybrid, Testing"
Behave,Python,"Behavior-driven development, Python style.",Engine,Testing
