Technology,Description,Language,Platform,Usage
Lagom,Allows for building reactive microservices and integrates well with test automation frameworks for testing services and APIs.,"Java, Scala","Hybrid, Server, Testing, Web App",Engine
WireMock,Tool for simulating HTTP-based APIs for testing purposes. It is primarily used to create mock APIs.,Java,Testing,Engine
PyTest,"Unit, integration, and functional testing in Python.",Python,Testing,Engine
Vwo Test,"Visual testing platform for web applications, focusing on automating website testing without the need for coding. ",,"Testing, Web App",Engine
Selendroid,"Mobile test automation framework for Android, enabling automation of hybrid and native apps. It’s compatible with Selenium and supports both real devices and emulators.","Java, Ruby","Native, Testing",Engine
Telerik Test Studio,"Comprehensive test automation tool that supports web, desktop, and mobile testing. It features an intuitive UI, automated test creation, and integration with CI/CD pipelines.","C#, JavaScript","Hybrid, Native, Testing, Web App",Engine
Calabash,"Cross-platform test automation framework for mobile apps, allowing teams to write tests in Cucumber.",Ruby,"Hybrid, Testing",Engine
Concordion,Lightweight framework designed for BDD in Java. It allows you to write acceptance tests in HTML,"HTML, Java",Testing,Engine
Minitest,Unit testing in Ruby.,Ruby,Testing,Engine
Detox,"End-to-end testing framework for React Native applications, focusing on mobile UI testing.",JavaScript,Testing,Engine
TestCafe,Node.js-based testing framework that supports browser testing without requiring WebDriver.,JavaScript,Testing,Engine
Puppeteer,Puppeteer is a JavaScript library which provides a high-level API to control Chrome or Firefox over the DevTools Protocol or WebDriver BiDi.,JavaScript,"Testing, Web App",Engine
WebDriverIO,WebdriverIO is a progressive automation framework built to automate modern web and mobile applications.,JavaScript,"Native, Testing, Web App",Engine
Jest,Jest is a JavaScript testing framework designed to ensure correctness of any JavaScript codebase.,JavaScript,Testing,Engine
Spock,"Spock is a testing and specification framework for Java and Groovy applications. ","Groovy, Java",Testing,Engine
Maestro,End-to-end testing for Mobile and Web apps.,YAML,"Multiple, Native, Testing, Web App",Engine
Gauge," Free and open source framework for writing and running acceptance tests. ","C#, Java, JavaScript, Markdown, Python, Ruby",Testing,Engine
Nightwatch.js,End to end testing of web apps on desktop & mobile browsers,JavaScript,"Testing, Web App",Engine
Selenide,Framework for test automation powered by Selenium WebDriver.,Java,"Testing, Web App",Engine
Takio,"Free and open source Node.js library with a simple API to automate Chromium based browsers (Chrome, Microsoft Edge, Opera) and Firefox.",JavaScript,"Testing, Web App",Engine
PHPUnit,Programmer-oriented testing framework for PHP. It is an instance of the xUnit architecture for unit testing frameworks.,PHP,Testing,Engine
XCUITest,"Appium driver for automating iOS applications on iOS, iPadOS, and tvOS.","Objective-C, Swift","System, Testing",Engine
Geb,"Brings together the power of WebDriver, the elegance of jQuery content selection, the robustness of Page Object modelling and the expressiveness of the Groovy language.",Groovy,"Testing, Web App",Engine
QUnit,"JavaScript testing framework designed for unit and integration testing, especially for front-end applications.",JavaScript,"Testing, Web App",Engine
RSPec,Behaviour Driven Development for Ruby.,Ruby,Testing,Engine
Reqnroll,Open-source Cucumber-style BDD test automation framework for .NET.,,Testing,Engine
MSTest,"Microsoft Testing Framework, is a test framework for .NET applications.",C#,"Hybrid, Testing",Engine
Jasmine,"Framework for testing JavaScript code. It does not depend on any other JavaScript frameworks. It runs in browsers and in Node.js. ",JavaScript,Testing,Engine
Behave,"Behavior-driven development, Python style.",Python,Testing,Engine
Alpine,"Rugged, minimal tool for composing behavior directly in your markup.","CSS, HTML, JavaScript",Web App,Front-End
Inferno,"Inferno is an insanely fast, React-like library for building high-performance user interfaces on both the client and server.","CSS, HTML, JavaScript",,
